id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
161,2009,CR Brathwaite,2009-05-15,DD,KXIP,KXIP,CSK,normal,0,KXIP,0,6,B Lee,OUTsurance Oval
162,2009,CR Brathwaite,2009-05-16,MI,CSK,MI,CSK,normal,0,CSK,0,7,ML Hayden,St George's Park
163,2009,CR Brathwaite,2009-05-16,KKR,SRH,SRH,CSK,normal,0,SRH,0,6,RG Sharma,New Wanderers Stadium
164,2009,CR Brathwaite,2009-05-17,KXIP,SRH,SRH,CSK,normal,0,KXIP,1,0,Yuvraj Singh,New Wanderers Stadium
165,2009,CR Brathwaite,2009-05-17,DD,RR,DD,CSK,normal,0,DD,14,0,AB de Villiers,OUTsurance Oval
166,2009,CR Brathwaite,2009-05-18,CSK,KKR,CSK,CSK,normal,0,KKR,0,7,BJ Hodge,SuperSport Park
167,2009,CR Brathwaite,2009-05-19,DD,RCB,DD,CSK,normal,0,RCB,0,7,JH Kallis,New Wanderers Stadium
168,2009,CR Brathwaite,2009-05-20,RR,KKR,KKR,CSK,normal,0,KKR,0,4,LR Shukla,Kingsmead
169,2009,CR Brathwaite,2009-05-20,CSK,KXIP,CSK,CSK,normal,0,CSK,24,0,M Muralitharan,Kingsmead
170,2009,CR Brathwaite,2009-05-21,MI,DD,DD,CSK,normal,0,DD,0,4,V Sehwag,SuperSport Park
171,2009,CR Brathwaite,2009-05-21,RCB,SRH,RCB,CSK,normal,0,RCB,12,0,MK Pandey,SuperSport Park
172,2009,CR Brathwaite,2009-05-22,DD,SRH,SRH,CSK,normal,0,SRH,0,6,AC Gilchrist,SuperSport Park
173,2009,CR Brathwaite,2009-05-23,CSK,RCB,RCB,CSK,normal,0,RCB,0,6,MK Pandey,New Wanderers Stadium
174,2009,CR Brathwaite,2009-05-24,SRH,RCB,RCB,CSK,normal,0,SRH,6,0,A Kumble,New Wanderers Stadium
175,2010,CR Brathwaite,2010-03-12,KKR,SRH,SRH,CSK,normal,0,KKR,11,0,AD Mathews,Dr DY Patil Sports Academy
176,2010,CR Brathwaite,2010-03-13,MI,RR,MI,CSK,normal,0,MI,4,0,YK Pathan,Brabourne Stadium
177,2010,CR Brathwaite,2010-03-13,KXIP,DD,DD,CSK,normal,0,DD,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali"
178,2010,CR Brathwaite,2010-03-14,RCB,KKR,KKR,CSK,normal,0,KKR,0,7,MK Tiwary,Eden Gardens
179,2010,CR Brathwaite,2010-03-14,SRH,CSK,SRH,CSK,normal,0,SRH,31,0,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk"
180,2010,CR Brathwaite,2010-03-15,RR,DD,DD,CSK,normal,0,DD,0,6,V Sehwag,"Sardar Patel Stadium, Motera"
181,2010,CR Brathwaite,2010-03-16,KXIP,RCB,KXIP,CSK,normal,0,RCB,0,8,JH Kallis,M Chinnaswamy Stadium
182,2010,CR Brathwaite,2010-03-16,CSK,KKR,CSK,CSK,normal,0,CSK,55,0,MS Dhoni,Eden Gardens
183,2010,CR Brathwaite,2010-03-17,MI,DD,DD,CSK,normal,0,MI,98,0,SR Tendulkar,Feroz Shah Kotla
184,2010,CR Brathwaite,2010-03-18,RR,RCB,RCB,CSK,normal,0,RCB,0,10,JH Kallis,M Chinnaswamy Stadium
185,2010,CR Brathwaite,2010-03-19,DD,CSK,DD,CSK,normal,0,CSK,0,5,ML Hayden,Feroz Shah Kotla
186,2010,CR Brathwaite,2010-03-19,SRH,KXIP,KXIP,CSK,normal,0,SRH,6,0,A Symonds,Barabati Stadium
187,2010,CR Brathwaite,2010-03-20,RR,KKR,RR,CSK,normal,0,RR,34,0,AA Jhunjhunwala,"Sardar Patel Stadium, Motera"
188,2010,CR Brathwaite,2010-03-20,MI,RCB,MI,CSK,normal,0,RCB,0,7,JH Kallis,Brabourne Stadium
189,2010,CR Brathwaite,2010-03-21,SRH,DD,SRH,CSK,normal,0,SRH,10,0,A Symonds,Barabati Stadium
190,2010,CR Brathwaite,2010-03-21,KXIP,CSK,CSK,CSK,tie,0,KXIP,0,0,J Theron,"MA Chidambaram Stadium, Chepauk"
191,2010,CR Brathwaite,2010-03-22,KKR,MI,KKR,CSK,normal,0,MI,0,7,SR Tendulkar,Brabourne Stadium
192,2010,CR Brathwaite,2010-03-23,RCB,CSK,CSK,CSK,normal,0,RCB,36,0,RV Uthappa,M Chinnaswamy Stadium
193,2010,CR Brathwaite,2010-03-24,RR,KXIP,KXIP,CSK,normal,0,RR,31,0,AC Voges,"Punjab Cricket Association Stadium, Mohali"
194,2010,CR Brathwaite,2010-03-25,CSK,MI,MI,CSK,normal,0,MI,0,5,SR Tendulkar,Brabourne Stadium
195,2010,CR Brathwaite,2010-03-26,SRH,RR,SRH,CSK,normal,0,RR,0,8,YK Pathan,"Sardar Patel Stadium, Motera"
196,2010,CR Brathwaite,2010-03-27,KKR,KXIP,KKR,CSK,normal,0,KKR,39,0,MK Tiwary,"Punjab Cricket Association Stadium, Mohali"
197,2010,CR Brathwaite,2010-03-25,DD,RCB,RCB,CSK,normal,0,DD,17,0,KM Jadhav,M Chinnaswamy Stadium
