id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
436,2013,9,2013-05-09,8,10,10,1,normal,0,10,0,8,KK Cooper,"Punjab Cricket Association Stadium, Mohali"
437,2013,2,2013-05-09,6,4,6,2,normal,0,6,46,0,G Gambhir,Subrata Roy Sahara Stadium
438,2013,8,2013-05-10,5,7,7,1,normal,0,5,4,0,JD Unadkat,Feroz Shah Kotla
439,2013,2,2013-05-11,4,2,4,2,normal,0,2,0,5,MG Johnson,Subrata Roy Sahara Stadium
440,2013,9,2013-05-11,1,8,8,1,normal,0,1,30,0,PA Patel,"Punjab Cricket Association Stadium, Mohali"
441,2013,28,2013-05-12,5,6,6,1,normal,0,6,0,5,JH Kallis,JSCA International Stadium Complex
442,2013,11,2013-05-12,9,10,10,1,normal,0,10,0,5,SR Watson,Sawai Mansingh Stadium
443,2013,8,2013-04-23,7,8,8,1,normal,0,8,0,5,Harmeet Singh,Feroz Shah Kotla
444,2013,6,2013-05-13,1,2,1,2,normal,0,2,0,7,KA Pollard,Wankhede Stadium
445,2013,28,2013-05-15,4,6,6,1,normal,0,4,7,0,MK Pandey,JSCA International Stadium Complex
446,2013,12,2013-05-14,9,7,9,2,normal,0,9,33,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
447,2013,6,2013-05-15,2,10,10,1,normal,0,2,14,0,AP Tare,Wankhede Stadium
448,2013,9,2013-05-06,5,8,8,1,normal,0,8,0,6,DA Miller,"Punjab Cricket Association Stadium, Mohali"
449,2013,1,2013-05-17,1,10,1,2,normal,0,1,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal"
450,2013,24,2013-05-18,8,2,2,1,normal,0,8,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium
451,2013,2,2013-05-19,4,7,4,2,normal,0,4,38,0,LJ Wright,Subrata Roy Sahara Stadium
452,2013,5,2013-05-18,5,9,9,1,normal,0,5,24,0,V Kohli,M Chinnaswamy Stadium
453,2013,1,2013-05-19,6,1,6,2,normal,0,1,0,5,PA Patel,"Rajiv Gandhi International Stadium, Uppal"
454,2013,8,2013-05-21,9,2,9,2,normal,0,9,48,0,MEK Hussey,Feroz Shah Kotla
455,2013,8,2013-05-22,1,10,1,2,normal,0,10,0,4,BJ Hodge,Feroz Shah Kotla
456,2013,7,2013-05-24,10,2,10,2,normal,0,2,0,4,Harbhajan Singh,Eden Gardens
457,2013,7,2013-05-26,2,9,2,2,normal,0,2,23,0,KA Pollard,Eden Gardens
458,2014,29,2014-04-16,6,2,6,2,normal,0,6,41,0,JH Kallis,Sheikh Zayed Stadium
